ID,Title,SKU,"Product Type","Parent Product ID",_isbn_text_field,epub_uuid
3076,"Almenn efnafræði 3",10830,variable,3075,9789979304111,
3085,"Iceland Reflections on the Ringroad",1083058,variable,3084,9781771083058,
3096,"Yrkja: afmælisrit til Vigdísar Finnbogadóttur",1100003,variable,3095,9789979100003,
3127,"Artemis Fowl - Tímaþversögn",110008,variable,3126,9789935110008,
3140,"Jólasveinar - af fjöllum í fellihýsi",110015,variable,3139,9789935110015,
3161,"Petite Anglaise",110039,variable,3160,978993511039,
3172,"Rekstrarhagfræði og kostnaðarbókhald",1100430,variable,3171,9789979100430,
3192,"Vextir og vaxtavextir",1100522,variable,3191,9789979100522,
3198,"Kama Sutra minni",110053,variable,3197,9789935110053,
3206,Ódáðahraun,110060,variable,3205,9789935110060,
3303,Skaparinn,110121,variable,3302,9789935110121,
3327,"Dimmar rósir",110152,variable,3326,9789935110152,
3339,"Segðu mömmu að mér líði vel",110169,variable,3338,9789935110169,
3347,"Með seiglunni hefst það: saga Benedikts Davíðssonar",110176,variable,3346,9789935110176,
3376,"Apakóngur á Silkiveginum",110190,variable,3375,9789935110190,
3385,Betrun,110206,variable,3384,9789935110206,
3394,"Leitin að barninu í gjánni",110213,variable,3393,9789935110213,
3418,"Fundið fé",110237,variable,3417,9789935110237,
3424,"Ljónið öskrar - ævisaga Jónasar frá Hriflu",1102397,variable,3423,9789979102397,
3455,"Nýja Ísland",110268,variable,3454,9789935110268,
3463,"Í sól og skugga",110275,variable,3462,9789935110275,
3469,"Tíu ráð til að hætta að drepa fólk og byrja að vaska upp",110282,variable,3468,9789935110282,
3478,"Eragon #3: Brísingur",110299,variable,3477,9789935110299,
3484,"Spannáll aukablaðsins",110305,variable,3483,9789935110305,
3488,"Eineygði kötturinn Kisi og ástandið - fyrri hluti",110312,variable,3487,9789935110312,
3497,"Litla lostaboxið",110336,variable,3496,9789935110336,
3503,Pappírsfiðrildi,110343,variable,3502,9789935110343,
3509,"Ísland í nærmynd",110350,variable,3508,9789935110350,
3521,"Island im fokus - Deutsch",110374,variable,3520,9789935110374,
3534,"Nýja testamentið -Hljóðbók",110398,variable,3533,9789935110398,
3540,Frida,110404,variable,3539,9789935110404,
3552,Tilræðið,110428,variable,3551,9789935110428,
3584,"Kama sutra stór",110541,variable,3583,9789935110541,
3590,"Kvennabarátta og kristin trú",110572,variable,3589,9789935110572,
3598,"Stjörnubók - ferðabók 2",110596,variable,3597,9789935110596,
3605,"Mannlaus veröld",110602,variable,3604,9789935110602,
3610,"Sofandi að feigðarósi",110619,variable,3609,9789935110619,
3617,"Sagan -  leiðsögn í máli og myndum",110626,variable,3616,9789935110626,
3621,"Hrunið: Ísland á barmi gjaldþrots og upplausnar",110633,variable,3620,9789935110633,
3625,"Eineygði kötturinn Kisi og ástandið - seinni hluti: Flóttinn frá Reykjavík",110640,variable,3624,9789935110640,
3630,"Prinsessa í bleiku",110671,variable,3629,9789935110671,
3636,"Skúli skelfir og jólin",110688,variable,3635,9789935110688,
3640,"Skúli skelfir og hræðilegi snjókarlinn",110695,variable,3639,9789935110695,
3644,"Konan sem kyssti of mikið",110718,variable,3643,9789935110718,
3650,"Sex grunaðir",110725,variable,3649,9789935110725,
3656,"Á mannamáli: ofbeldi á Íslandi",110732,variable,3655,9789935110732,
3662,"Snorri:  Ævisaga Snorra Sturlusonar 1179-1241",110749,variable,3661,9789935110749,
3666,"Fjóli Fífils - sverð Napóleons",110756,variable,3665,9789935110756,
3672,"Ljóð orku þörf",110763,variable,3671,9789935110763,
3677,"Öll dagsins glóð",110770,variable,3676,9789935110770,
3681,Hyldýpi,110787,variable,3680,9789935110787,
3687,Kynni,110794,variable,3686,9789935110794,
3693,"Hvíti tígurinn",110800,variable,3692,9789935110800,
